1,91,20
1,92,20
2,20,20
3,15,20
3,18,30
4,84,20
4,85,40
4,86,30
5,31,70
6,50,10
7,55,30
8,97,30
9,112,20
10,123,40
11,21,20
12,37,30
13,48,20
14,81,40
15,115,60
16,123,20
17,43,10
17,45,10
18,51,20
19,103,20
20,104,20
21,116,30
22,3,40
23,35,10
24,50,20
25,100,30
26,101,40
27,106,30
28,10,20
29,37,10
30,68,10
31,81,20
32,97,20
33,98,20
34,55,10
35,61,10
36,79,10
37,92,20
38,94,20
39,96,10
40,4,10
41,26,30
42,37,10
43,82,20
44,87,30
44,88,10
45,35,10
46,45,10
47,55,10
48,89,10
49,99,20
50,102,30
51,32,5
52,59,10
53,71,5
